playerID,R,RBI,SB,AVG,SLG,Games_C,Games_2B,Games_3B,Games_SS,HOF_member
dyeje01,639.0,697.0,34.0,0.27191166321601107,0.4688290775247297,0.0,0.0,0.0,1.0,0
dykesji01,613.0,475.0,41.0,0.28142011834319525,0.4063905325443787,0.0,640.0,396.0,54.0,0
dykstle01,744.0,373.0,272.0,0.2867417885399185,0.4224406617118197,0.0,0.0,0.0,0.0,0
eckstda01,701.0,392.0,123.0,0.2804999008133307,0.35528664947431066,0.0,282.0,0.0,974.0,0
edmonji01,868.0,794.0,46.0,0.2937541381593467,0.5354226440079453,0.0,0.0,0.0,0.0,0
edwarjo01,347.0,424.0,10.0,0.24038191519236168,0.35523729289525413,1075.0,0.0,0.0,0.0,0
elliobo01,803.0,903.0,54.0,0.2915500839395635,0.43667226263756764,0.0,2.0,985.0,2.0,0
engliwo01,781.0,407.0,54.0,0.2877995642701525,0.3806100217864924,0.0,19.0,363.0,811.0,0
ennisde01,811.0,1029.0,37.0,0.2892750570475689,0.48411444619975424,0.0,0.0,0.0,0.0,0
erstada01,810.0,620.0,169.0,0.2874297888824327,0.4173929885725354,0.0,0.0,0.0,0.0,0
evansda01,740.0,709.0,73.0,0.24954388810054734,0.42063652949523617,0.0,0.0,1158.0,0.0,0
evansdw01,689.0,606.0,45.0,0.26916016521340064,0.4676457090408444,0.0,0.0,0.0,0.0,0
evereca01,605.0,666.0,97.0,0.27860948997716317,0.47602131438721135,0.0,0.0,0.0,0.0,0
eversho01,535.0,561.0,44.0,0.2789687924016282,0.43012211668928085,0.0,0.0,0.0,0.0,0
fairlro01,514.0,569.0,17.0,0.2631709126885976,0.3925302992827109,0.0,0.0,0.0,0.0,0
falkbi01,624.0,754.0,46.0,0.31493071077335716,0.4492624050067054,0.0,0.0,0.0,0.0,0
fernato01,735.0,541.0,202.0,0.2850284495021337,0.3902916073968706,0.0,0.0,10.0,1438.0,0
ferreri01,493.0,518.0,20.0,0.2910039113428944,0.38852672750977835,1124.0,0.0,0.0,0.0,1
fieldce01,682.0,911.0,2.0,0.25741710296684117,0.49105584642233857,0.0,2.0,5.0,0.0,0
finlest01,805.0,546.0,234.0,0.275105809926895,0.4193920738745671,0.0,0.0,0.0,0.0,0
fiskca01,664.0,607.0,64.0,0.2825090470446321,0.47117008443908326,1067.0,0.0,4.0,0.0,1
flackma01,729.0,342.0,192.0,0.28029987505206166,0.3667221990837151,0.0,0.0,0.0,0.0,0
